# Synthetic Unihan_Readings.txt extracted from hexagram output
U+75BE	kDefinition	illness, disease, sickness; to hate
U+84BA	kMandarin	jí
U+84BA	kDefinition	furze; gorse
U+96C6	kMandarin	jí
U+96C6	kDefinition	assemble, collect together
U+51E0	kMandarin	jǐ
U+51E0	kDefinition	small table
U+5DF1	kMandarin	jǐ
U+5DF1	kDefinition	self, oneself; personal, private; 6th heavenly stem
U+5E7E	kMandarin	jǐ
U+5E7E	kDefinition	how many? how much?; a few, some
U+5B63	kMandarin	jì
U+5B63	kDefinition	quarter of year; season; surname
U+65E2	kMandarin	jì
U+65E2	kDefinition	already; de facto; since; then
U+6FDF	kMandarin	jì
U+6FDF	kDefinition	to help, aid, relieve; to ferry, cross
U+7A37	kMandarin	jì
U+7A37	kDefinition	god of cereals; minister of agriculture
U+8FF9	kMandarin	jì
U+8FF9	kDefinition	traces, impressions, footprints
U+5609	kMandarin	jiā
U+5609	kDefinition	excellent; joyful; auspicious
U+5BB6	kMandarin	jiā
U+5BB6	kDefinition	house, home, residence; family
U+9D36	kMandarin	jiá
U+7532	kMandarin	jiǎ
U+7532	kDefinition	armor, shell; fingernails; 1st heavenly stem
U+8CC8	kMandarin	jiǎ
U+8CC8	kDefinition	surname; merchant; buy, trade
U+5AC1	kMandarin	jià
U+5AC1	kDefinition	to marry, give a daughter in marriage
U+7A3C	kMandarin	jià
U+7A3C	kDefinition	sow grain; sheaves of grain
U+99D5	kMandarin	jià
U+99D5	kDefinition	to drive, sail, fly; a cart, carriage
U+5805	kMandarin	jiān
U+5805	kDefinition	hard, strong, firm; resolute
U+59E6	kMandarin	jiān
U+59E6	kDefinition	adultery, debauchery; debauch
U+7E6D	kMandarin	jiǎn
U+7E6D	kDefinition	cocoon; callus, blister
U+8E47	kMandarin	jiǎn
U+8E47	kDefinition	lame, crippled; unlucky; hexagram ䷦
U+5065	kMandarin	jiàn
U+5065	kDefinition	strong, robust, healthy; strength
U+5EFA	kMandarin	jiàn
U+5EFA	kDefinition	build, establish, erect, found
U+6F38	kMandarin	jiàn
U+6F38	kDefinition	gradually; hexagram ䷴
U+6F97	kMandarin	jiàn
U+6F97	kDefinition	brook, mountain stream
U+898B	kMandarin	jiàn
U+898B	kDefinition	see, observe, behold; perceive; Kangxi radical 147
U+89C1	kMandarin	jiàn
U+89C1	kDefinition	see, observe, behold; perceive
U+59DC	kMandarin	jiāng
U+59DC	kDefinition	surname; ginger
U+6C5F	kMandarin	jiāng
U+6C5F	kDefinition	large river; the Yangzi; surname
U+964D	kMandarin	jiàng
U+964D	kDefinition	descend, fall, drop; lower, down
U+4EA4	kMandarin	jiāo
U+4EA4	kDefinition	mix; intersect; exchange, communicate; deliver
U+7126	kMandarin	jiāo
U+7126	kDefinition	burned, scorched; anxious, vexed
U+9A55	kMandarin	jiāo
U+9A55	kDefinition	spirited horse; haughty
U+9A84	kMandarin	jiāo
U+9A84	kDefinition	spirited horse; haughty
U+768E	kMandarin	jiǎo
U+768E	kDefinition	white; bright, brilliant; clear
U+89D2	kMandarin	jiǎo
U+89D2	kDefinition	horn; angle, corner; point; Kangxi radical 148; 1st lunar mansion, determinative star Spica
U+7686	kMandarin	jiē
U+7686	kDefinition	all, every, everybody
